id;sentiment_predict
1046764676707750000;2
1047329264943750000;1
1045443874947310000;1
1040484298711810000;2
1045411876887310000;0
1046755008824460000;1
1049323059369450000;0
1049032860626250000;2
1037681285689470000;2
1049319300551590000;0
1048408675709330000;1
1048397104014670000;1
1049137986766630000;1
1045365438677470000;1
1046717854110950000;0
1042428359647600000;1
1041768009285740000;1
1049103110117970000;1
1031296850257760000;2
1039193086633670000;2
1044677924224350000;2
1049289289966800000;0
1046377621460660000;2
1045032762116190000;2
1038936349649370000;2
1046946647861860000;0
1049151475505650000;1
1046753348043640000;0
1047471942725510000;1
1036797021317940000;2
1049298120889250000;1
1046965907099140000;1
1046944869921510000;0
1050745666396460000;1
1046709487170660000;1
1039940288628910000;2
1049641187819310000;2
1053306766447070000;2
1044548977990020000;2
1039912264541700000;2
1049167861778990000;0
1047455379037340000;1
1050164595346820000;2
1046747772832110000;1
1045410136779560000;1
1032957989832070000;2
1037162148332330000;1
1042864072503510000;2
1045419243448210000;1
1050580782853640000;0
1046945279331770000;1
1044657788897510000;2
1049134199465270000;1
1039940455264340000;0
1050608005929100000;2
1046822054094230000;2
1049132041374200000;0
1049189931720110000;0
1046941466239610000;0
1049298983343070000;0
1046182837643230000;2
1043100537690960000;2
1037310050216210000;2
1045368738088810000;1
1036696595868400000;2
1047189470708020000;2
1040642582865470000;2
1044297918306560000;2
1034848411957300000;2
1044264709392860000;2
1046925918478860000;0
1048396212884460000;1
1033099499743400000;2
1047151813487730000;2
1045046863030880000;2
1047456527727190000;0
1037773682217640000;2
1049315805089940000;0
1033770686697950000;2
1045118838268980000;2
1045513557520120000;0
1050108230330970000;2
1049965260994530000;2
1046923281130040000;0
1047539262298740000;1
1035692901932690000;2
1049320686827780000;0
1047321856624220000;1
1046915723023520000;0
1045345439938220000;1
1049264045491150000;0
1049136388258590000;1
1045419838028620000;0
1038094532049620000;2
1046722113753750000;1
1046710688519990000;1
1046770017344340000;1
1042394147808790000;2
1039423409174840000;2
1049623509603890000;2
1049260076513620000;0
1033072752561980000;2
1050768714306590000;2
1045366115713450000;1
1049133956552150000;0
1047503732949380000;1
1039672348604070000;2
1045417410042450000;1
1048391170680930000;1
1037375893952440000;2
1049316619158220000;0
1047332329457420000;1
1045395320300070000;0
1047343440604880000;1
1045366415224490000;2
1037800107389870000;2
1046943335653500000;0
1045291623083630000;2
1049319825271480000;2
1046962010288770000;0
1031946616473900000;2
1041658028817370000;2
1046056196891970000;2
1047055173724590000;1
1042183988134080000;2
1049276990036110000;2
1045420349096170000;0
1042498561513010000;2
1045379811248660000;1
1039045817477170000;2
1050360364548970000;2
1030712815995240000;2
1049181335070420000;0
1050310058805000000;2
1053309799394290000;2
1048420797092700000;1
1045372573079560000;1
1047502453388850000;2
1042850209359950000;2
1049184982760080000;1
1047477535498560000;1
1039235896179140000;2
1046234427414780000;0
1046791826705920000;0
1036901686168550000;0
1047966278617640000;2
1050711524900330000;0
1046925790024070000;1
1052873603987980000;2
1042733358139070000;2
1049288014671880000;0
1048415046089540000;0
1049295841352150000;0
1049157117721170000;1
1046943129000190000;0
1035173357887600000;2
1046727941894340000;0
1049164025278420000;1
1046774597197210000;0
1046931904434460000;1
1049314600511010000;0
1046720820415000000;0
1046966025865050000;0
1045419359110400000;1
1045474304119510000;2
1045654355574230000;2
1046784770863240000;1
1033016797107240000;2
1049313709682820000;1
1048867533745360000;2
1049268174867350000;1
1047552700311850000;0
1046924363671460000;0
1038067671680600000;2
1045432629921760000;1
1046980141438700000;0
1050380743816480000;2
1046239067648740000;0
1040344454543110000;2
1046799146487890000;0
1038829383773870000;2
1045489854698740000;1
1047504014974380000;2
1050341247326580000;2
1046767315784790000;1
1040288887371980000;2
1048075678518850000;2
1039581270945210000;2
1037875807589490000;2
1046715665070130000;0
1049270593806380000;1
1044894493072410000;2
1044753609215410000;2
1045473835825410000;1
1046794461274160000;0
1046752791425940000;1
1044353285342350000;2
1049115263692620000;1
1046725249562300000;0
1046946968218590000;0
1048782395414120000;2
1039136409452300000;2
1049286695076720000;0
1034548841285140000;2
1036676630884900000;2
1049289836551700000;0
1045346479639010000;1
1047334006239520000;1
1049136523994650000;0
1048206763558920000;2
1045431301388600000;1
1047067830720640000;0
1046967990531630000;1
1041960155951320000;2
1046727961339200000;1
1044757193868730000;2
1050774738434500000;1
1046730911289670000;0
1049255724612800000;0
1048930200854170000;1
1039445949083530000;2
1046773083485470000;0
1049153310266200000;0
1046942477020810000;0
1046790616603130000;0
1046925444581420000;1
1046243873629130000;0
1048397045588020000;1
1045969431828960000;2
1044777606661510000;2
1045353768009820000;1
1045514828905940000;1
1032020326341910000;2
1049446350729940000;2
1049300743595930000;1
1048309352837390000;2
1034978138709800000;2
1046798612393580000;0
1034864516369200000;2
1048206209935920000;0
1047540370417090000;1
1049152184410100000;1
1041821600549660000;2
1041313578844910000;2
1047314974136300000;1
1045409857287980000;0
1045452064212610000;1
1046777234076450000;1
1033552387607290000;2
1049284077071880000;1
1046775066602730000;1
1046753119827300000;1
1045495166897920000;1
1045441734392650000;1
1049266937564410000;1
1050770222104360000;1
1049297622895420000;0
1046948869031040000;0
1046768488944160000;1
1046709594070930000;1
1046776268971270000;1
1049254554896930000;0
1049165166892520000;0
1049313867770360000;0
1045345062987720000;1
1046750323224790000;1
1051790381308920000;0
1047419181514340000;1
1047502532153700000;1
1045425600641540000;1
1047442950496710000;0
1048430439092930000;0
1046931715648900000;1
1049244504790920000;1
1046955404591280000;2
1046981544190100000;0
1048408320002980000;0
1045352312401730000;0
1034422005859340000;2
1048409723832300000;1
1047415027043630000;1
1046969447796430000;0
1049129100009460000;1
1046257825700290000;1
1051489404345290000;2
1043175583939800000;2
1049029732728300000;2
1045385274333820000;2
1049262109035550000;1
1047391515436380000;1
1049117710838390000;1
1046768178800600000;0
1039985185440310000;2
1049138390770370000;0
1031590029360030000;2
1046705145868890000;0
1046795127132440000;1
1047473834960600000;1
1049302750499130000;1
1047540469100670000;1
1050237995276780000;2
1047405166780210000;0
1042893664568180000;2
1043736476477990000;2
1049146886844810000;1
1033013379928090000;2
1046712990634920000;0
1046745041190950000;0
1048402155663740000;1
1046794469381760000;1
1047549168179450000;1
1045183754380210000;2
1049141997364230000;0
1046237058459730000;0
1046934793454270000;0
1046780431008450000;0
1049284396778450000;0
1045444532903590000;1
1046962214949860000;0
1046916593991730000;0
1050778725388830000;1
1047510583569000000;1
1047550740036800000;2
1045515405329140000;2
1046922712931660000;2
1053160383312260000;2
1044542028896330000;2
1046798258348150000;0
1049128622890670000;1
1045399535844040000;1
1049166926184890000;0
1049117998894790000;0
1042844057863680000;2
1045509275160910000;1
1042815593643220000;2
1049231887292620000;0
1049123413929990000;1
1046730850103160000;1
1049182624948900000;0
1037596019104670000;2
1046701564642170000;1
1046912573122250000;2
1047020090951120000;0
1049314841423490000;0
1049077800773310000;2
1046763071014930000;0
1046988142824370000;0
1035001980169740000;2
1049305873909260000;1
1046954685326940000;1
1038928236401580000;2
1047441166101310000;1
1049276240329410000;0
1047507826128690000;1
1036721721267640000;2
1046232473552580000;1
1046710306196550000;0
1046691825359230000;0
1047032559853540000;1
1049289318823590000;0
1041648390017350000;2
1045100708603810000;2
1048951086038490000;0
1047490288946740000;2
1047544607574300000;1
1046746605838380000;0
1046763406546660000;0
1049296206869010000;1
1050777067053350000;0
1037455329985020000;2
1049155959774440000;1
1045437704584990000;1
1048383769554710000;1
1038502233518660000;2
1047488382832710000;1
1046741847962500000;0
1049054615155690000;2
1045401973384780000;0
1045402407369360000;1
1049119619301210000;1
1047224711984370000;2
